Station_Name,Datetime,PRS,TEM,RHU,WIN_D_Avg_2mi,WIN_S_Avg_2mi
临潼,2019-12-07 00:00:00,981.1,-2.7,89,8,0.4
临潼,2019-12-07 00:01:00,981.1,-2.7,89,6,0.3
临潼,2019-12-07 00:02:00,981.1,-2.7,89,0,0.2
临潼,2019-12-07 00:03:00,981.1,-2.7,90,0,0
临潼,2019-12-07 00:04:00,981.1,-2.7,90,0,0
临潼,2019-12-07 00:05:00,981.1,-2.6,90,0,0
临潼,2019-12-07 00:06:00,981.1,-2.6,90,0,0
临潼,2019-12-07 00:07:00,981.1,-2.6,90,0,0
临潼,2019-12-07 00:08:00,981.1,-2.6,90,0,0
临潼,2019-12-07 00:09:00,981.2,-2.6,90,0,0
临潼,2019-12-07 00:10:00,981.2,-2.6,90,0,0
临潼,2019-12-07 00:11:00,981.2,-2.6,89,0,0
临潼,2019-12-07 00:12:00,981.2,-2.6,89,0,0.1
临潼,2019-12-07 00:13:00,981.1,-2.6,90,94,0.4
临潼,2019-12-07 00:14:00,981.1,-2.6,90,101,0.6
临潼,2019-12-07 00:15:00,981.1,-2.6,90,103,0.6
临潼,2019-12-07 00:16:00,981.1,-2.5,90,99,0.6
临潼,2019-12-07 00:17:00,981.1,-2.5,90,97,0.7
临潼,2019-12-07 00:18:00,981.1,-2.5,90,100,0.8
临潼,2019-12-07 00:19:00,981,-2.5,90,99,0.9
临潼,2019-12-07 00:20:00,981,-2.5,90,96,0.9
临潼,2019-12-07 00:21:00,981,-2.5,90,95,1
临潼,2019-12-07 00:22:00,981,-2.5,90,98,1
临潼,2019-12-07 00:23:00,981,-2.5,91,108,0.9
临潼,2019-12-07 00:24:00,980.9,-2.5,91,118,1
临潼,2019-12-07 00:25:00,980.9,-2.5,91,115,1
临潼,2019-12-07 00:26:00,980.9,-2.5,91,111,0.9
临潼,2019-12-07 00:27:00,980.9,-2.5,91,104,0.8
临潼,2019-12-07 00:28:00,980.9,-2.5,91,98,0.8
临潼,2019-12-07 00:29:00,980.9,-2.4,91,98,0.8
临潼,2019-12-07 00:30:00,980.9,-2.4,92,105,0.8
临潼,2019-12-07 00:31:00,980.9,-2.4,92,111,0.7
临潼,2019-12-07 00:32:00,980.9,-2.4,92,107,0.7
临潼,2019-12-07 00:33:00,980.9,-2.3,92,98,0.6
临潼,2019-12-07 00:34:00,980.9,-2.3,92,93,0.7
